municipio,lat,lon,populacao,data,casos_notificados
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-08-01,657
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-09-01,606
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-10-01,1040
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-11-01,1049
São Paulo (Centro),-23.5505,-46.6333,12300000,2022-12-01,971
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-01-01,4524
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-02-01,3887
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-03-01,5691
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-04-01,4940
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-05-01,3962
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-06-01,817
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-07-01,590
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-08-01,1021
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-09-01,701
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-10-01,899
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-11-01,727
São Paulo (Centro),-23.5505,-46.6333,12300000,2023-12-01,829
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-01-01,11064
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-02-01,8727
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-03-01,13794
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-04-01,12539
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-05-01,13600
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-06-01,2129
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-07-01,1823
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-08-01,2157
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-09-01,1296
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-10-01,1407
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-11-01,1252
São Paulo (Centro),-23.5505,-46.6333,12300000,2024-12-01,1541
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-01-01,10043
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-02-01,9285
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-03-01,12885
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-04-01,9837
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-05-01,9347
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-06-01,1766
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-07-01,1351
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-08-01,2034
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-09-01,1282
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-10-01,2225
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-11-01,2003
São Paulo (Centro),-23.5505,-46.6333,12300000,2025-12-01,1410
São Paulo (Centro),-23.5505,-46.6333,12300000,2026-01-01,3604
São Paulo (Centro),-23.5505,-46.6333,12300000,2026-02-01,6095
São Paulo (Centro),-23.5505,-46.6333,12300000,2026-03-01,5761
São Paulo (Centro),-23.5505,-46.6333,12300000,2026-04-01,5829
Campinas,-22.9099,-47.0626,1210000,2020-01-01,586
Campinas,-22.9099,-47.0626,1210000,2020-02-01,375
Campinas,-22.9099,-47.0626,1210000,2020-03-01,461
Campinas,-22.9099,-47.0626,1210000,2020-04-01,387
Campinas,-22.9099,-47.0626,1210000,2020-05-01,614
Campinas,-22.9099,-47.0626,1210000,2020-06-01,86
Campinas,-22.9099,-47.0626,1210000,2020-07-01,72
Campinas,-22.9099,-47.0626,1210000,2020-08-01,59
Campinas,-22.9099,-47.0626,1210000,2020-09-01,71
Campinas,-22.9099,-47.0626,1210000,2020-10-01,72
Campinas,-22.9099,-47.0626,1210000,2020-11-01,91
Campinas,-22.9099,-47.0626,1210000,2020-12-01,87
Campinas,-22.9099,-47.0626,1210000,2021-01-01,621
Campinas,-22.9099,-47.0626,1210000,2021-02-01,495
Campinas,-22.9099,-47.0626,1210000,2021-03-01,389
Campinas,-22.9099,-47.0626,1210000,2021-04-01,568
Campinas,-22.9099,-47.0626,1210000,2021-05-01,583
Campinas,-22.9099,-47.0626,1210000,2021-06-01,83
Campinas,-22.9099,-47.0626,1210000,2021-07-01,93
Campinas,-22.9099,-47.0626,1210000,2021-08-01,80
Campinas,-22.9099,-47.0626,1210000,2021-09-01,81
Campinas,-22.9099,-47.0626,1210000,2021-10-01,77
Campinas,-22.9099,-47.0626,1210000,2021-11-01,57
Campinas,-22.9099,-47.0626,1210000,2021-12-01,61
Campinas,-22.9099,-47.0626,1210000,2022-01-01,362
Campinas,-22.9099,-47.0626,1210000,2022-02-01,545
Campinas,-22.9099,-47.0626,1210000,2022-03-01,448
Campinas,-22.9099,-47.0626,1210000,2022-04-01,506
Campinas,-22.9099,-47.0626,1210000,2022-05-01,627
Campinas,-22.9099,-47.0626,1210000,2022-06-01,68
Campinas,-22.9099,-47.0626,1210000,2022-07-01,76
Campinas,-22.9099,-47.0626,1210000,2022-08-01,93
Campinas,-22.9099,-47.0626,1210000,2022-09-01,67
Campinas,-22.9099,-47.0626,1210000,2022-10-01,60
Campinas,-22.9099,-47.0626,1210000,2022-11-01,70
Campinas,-22.9099,-47.0626,1210000,2022-12-01,64
Campinas,-22.9099,-47.0626,1210000,2023-01-01,634
Campinas,-22.9099,-47.0626,1210000,2023-02-01,597
Campinas,-22.9099,-47.0626,1210000,2023-03-01,544
Campinas,-22.9099,-47.0626,1210000,2023-04-01,616
Campinas,-22.9099,-47.0626,1210000,2023-05-01,596
Campinas,-22.9099,-47.0626,1210000,2023-06-01,65
Campinas,-22.9099,-47.0626,1210000,2023-07-01,99
Campinas,-22.9099,-47.0626,1210000,2023-08-01,82
Campinas,-22.9099,-47.0626,1210000,2023-09-01,95
Campinas,-22.9099,-47.0626,1210000,2023-10-01,99
Campinas,-22.9099,-47.0626,1210000,2023-11-01,71
Campinas,-22.9099,-47.0626,1210000,2023-12-01,61
Campinas,-22.9099,-47.0626,1210000,2024-01-01,885
Campinas,-22.9099,-47.0626,1210000,2024-02-01,1012
Campinas,-22.9099,-47.0626,1210000,2024-03-01,1260
Campinas,-22.9099,-47.0626,1210000,2024-04-01,1287
Campinas,-22.9099,-47.0626,1210000,2024-05-01,745
Campinas,-22.9099,-47.0626,1210000,2024-06-01,170
Campinas,-22.9099,-47.0626,1210000,2024-07-01,161
Campinas,-22.9099,-47.0626,1210000,2024-08-01,141
Campinas,-22.9099,-47.0626,1210000,2024-09-01,130
Campinas,-22.9099,-47.0626,1210000,2024-10-01,152
Campinas,-22.9099,-47.0626,1210000,2024-11-01,214
Campinas,-22.9099,-47.0626,1210000,2024-12-01,151
Campinas,-22.9099,-47.0626,1210000,2025-01-01,1070
Campinas,-22.9099,-47.0626,1210000,2025-02-01,1187
Campinas,-22.9099,-47.0626,1210000,2025-03-01,972
Campinas,-22.9099,-47.0626,1210000,2025-04-01,1358
Campinas,-22.9099,-47.0626,1210000,2025-05-01,1352
Campinas,-22.9099,-47.0626,1210000,2025-06-01,144
Campinas,-22.9099,-47.0626,1210000,2025-07-01,169
Campinas,-22.9099,-47.0626,1210000,2025-08-01,149
Campinas,-22.9099,-47.0626,1210000,2025-09-01,147
Campinas,-22.9099,-47.0626,1210000,2025-10-01,122
Campinas,-22.9099,-47.0626,1210000,2025-11-01,180
Campinas,-22.9099,-47.0626,1210000,2025-12-01,169
Campinas,-22.9099,-47.0626,1210000,2026-01-01,368
Campinas,-22.9099,-47.0626,1210000,2026-02-01,437
Campinas,-22.9099,-47.0626,1210000,2026-03-01,627
Campinas,-22.9099,-47.0626,1210000,2026-04-01,425
Ribeirão Preto,-21.1704,-47.8103,710000,2020-01-01,232
Ribeirão Preto,-21.1704,-47.8103,710000,2020-02-01,293
Ribeirão Preto,-21.1704,-47.8103,710000,2020-03-01,382
Ribeirão Preto,-21.1704,-47.8103,710000,2020-04-01,250
Ribeirão Preto,-21.1704,-47.8103,710000,2020-05-01,326
Ribeirão Preto,-21.1704,-47.8103,710000,2020-06-01,54
Ribeirão Preto,-21.1704,-47.8103,710000,2020-07-01,39
Ribeirão Preto,-21.1704,-47.8103,710000,2020-08-01,53
Ribeirão Preto,-21.1704,-47.8103,710000,2020-09-01,43
Ribeirão Preto,-21.1704,-47.8103,710000,2020-10-01,51
Ribeirão Preto,-21.1704,-47.8103,710000,2020-11-01,51
Ribeirão Preto,-21.1704,-47.8103,710000,2020-12-01,48
Ribeirão Preto,-21.1704,-47.8103,710000,2021-01-01,223
Ribeirão Preto,-21.1704,-47.8103,710000,2021-02-01,355
Ribeirão Preto,-21.1704,-47.8103,710000,2021-03-01,264
Ribeirão Preto,-21.1704,-47.8103,710000,2021-04-01,240
Ribeirão Preto,-21.1704,-47.8103,710000,2021-05-01,214
Ribeirão Preto,-21.1704,-47.8103,710000,2021-06-01,49
Ribeirão Preto,-21.1704,-47.8103,710000,2021-07-01,52
Ribeirão Preto,-21.1704,-47.8103,710000,2021-08-01,33
Ribeirão Preto,-21.1704,-47.8103,710000,2021-09-01,47
Ribeirão Preto,-21.1704,-47.8103,710000,2021-10-01,39
Ribeirão Preto,-21.1704,-47.8103,710000,2021-11-01,51
Ribeirão Preto,-21.1704,-47.8103,710000,2021-12-01,38
Ribeirão Preto,-21.1704,-47.8103,710000,2022-01-01,329
Ribeirão Preto,-21.1704,-47.8103,710000,2022-02-01,275
Ribeirão Preto,-21.1704,-47.8103,710000,2022-03-01,373
Ribeirão Preto,-21.1704,-47.8103,710000,2022-04-01,231
Ribeirão Preto,-21.1704,-47.8103,710000,2022-05-01,267
Ribeirão Preto,-21.1704,-47.8103,710000,2022-06-01,36
Ribeirão Preto,-21.1704,-47.8103,710000,2022-07-01,59
Ribeirão Preto,-21.1704,-47.8103,710000,2022-08-01,58
Ribeirão Preto,-21.1704,-47.8103,710000,2022-09-01,40
Ribeirão Preto,-21.1704,-47.8103,710000,2022-10-01,51
Ribeirão Preto,-21.1704,-47.8103,710000,2022-11-01,56
Ribeirão Preto,-21.1704,-47.8103,710000,2022-12-01,48
Ribeirão Preto,-21.1704,-47.8103,710000,2023-01-01,301
Ribeirão Preto,-21.1704,-47.8103,710000,2023-02-01,250
Ribeirão Preto,-21.1704,-47.8103,710000,2023-03-01,223
Ribeirão Preto,-21.1704,-47.8103,710000,2023-04-01,366
Ribeirão Preto,-21.1704,-47.8103,710000,2023-05-01,366
Ribeirão Preto,-21.1704,-47.8103,710000,2023-06-01,51
Ribeirão Preto,-21.1704,-47.8103,710000,2023-07-01,42
Ribeirão Preto,-21.1704,-47.8103,710000,2023-08-01,43
Ribeirão Preto,-21.1704,-47.8103,710000,2023-09-01,53
Ribeirão Preto,-21.1704,-47.8103,710000,2023-10-01,58
Ribeirão Preto,-21.1704,-47.8103,710000,2023-11-01,58
Ribeirão Preto,-21.1704,-47.8103,710000,2023-12-01,55
Ribeirão Preto,-21.1704,-47.8103,710000,2024-01-01,674
Ribeirão Preto,-21.1704,-47.8103,710000,2024-02-01,466
Ribeirão Preto,-21.1704,-47.8103,710000,2024-03-01,495
Ribeirão Preto,-21.1704,-47.8103,710000,2024-04-01,769
Ribeirão Preto,-21.1704,-47.8103,710000,2024-05-01,660
Ribeirão Preto,-21.1704,-47.8103,710000,2024-06-01,70
Ribeirão Preto,-21.1704,-47.8103,710000,2024-07-01,75
Ribeirão Preto,-21.1704,-47.8103,710000,2024-08-01,109
Ribeirão Preto,-21.1704,-47.8103,710000,2024-09-01,69
Ribeirão Preto,-21.1704,-47.8103,710000,2024-10-01,79
Ribeirão Preto,-21.1704,-47.8103,710000,2024-11-01,102
Ribeirão Preto,-21.1704,-47.8103,710000,2024-12-01,110
Ribeirão Preto,-21.1704,-47.8103,710000,2025-01-01,677
Ribeirão Preto,-21.1704,-47.8103,710000,2025-02-01,518
Ribeirão Preto,-21.1704,-47.8103,710000,2025-03-01,700
Ribeirão Preto,-21.1704,-47.8103,710000,2025-04-01,523
Ribeirão Preto,-21.1704,-47.8103,710000,2025-05-01,556
Ribeirão Preto,-21.1704,-47.8103,710000,2025-06-01,114
Ribeirão Preto,-21.1704,-47.8103,710000,2025-07-01,108
Ribeirão Preto,-21.1704,-47.8103,710000,2025-08-01,120
Ribeirão Preto,-21.1704,-47.8103,710000,2025-09-01,108
Ribeirão Preto,-21.1704,-47.8103,710000,2025-10-01,103
Ribeirão Preto,-21.1704,-47.8103,710000,2025-11-01,75
Ribeirão Preto,-21.1704,-47.8103,710000,2025-12-01,91
Ribeirão Preto,-21.1704,-47.8103,710000,2026-01-01,254
Ribeirão Preto,-21.1704,-47.8103,710000,2026-02-01,250
Ribeirão Preto,-21.1704,-47.8103,710000,2026-03-01,379
Ribeirão Preto,-21.1704,-47.8103,710000,2026-04-01,276
São José dos Campos,-23.1896,-45.8841,730000,2020-01-01,375
São José dos Campos,-23.1896,-45.8841,730000,2020-02-01,328
São José dos Campos,-23.1896,-45.8841,730000,2020-03-01,357
São José dos Campos,-23.1896,-45.8841,730000,2020-04-01,304
São José dos Campos,-23.1896,-45.8841,730000,2020-05-01,318
São José dos Campos,-23.1896,-45.8841,730000,2020-06-01,48
São José dos Campos,-23.1896,-45.8841,730000,2020-07-01,39
São José dos Campos,-23.1896,-45.8841,730000,2020-08-01,55
São José dos Campos,-23.1896,-45.8841,730000,2020-09-01,42
São José dos Campos,-23.1896,-45.8841,730000,2020-10-01,34
São José dos Campos,-23.1896,-45.8841,730000,2020-11-01,52
São José dos Campos,-23.1896,-45.8841,730000,2020-12-01,39
São José dos Campos,-23.1896,-45.8841,730000,2021-01-01,384
São José dos Campos,-23.1896,-45.8841,730000,2021-02-01,387
São José dos Campos,-23.1896,-45.8841,730000,2021-03-01,379
São José dos Campos,-23.1896,-45.8841,730000,2021-04-01,280
São José dos Campos,-23.1896,-45.8841,730000,2021-05-01,215
São José dos Campos,-23.1896,-45.8841,730000,2021-06-01,61
São José dos Campos,-23.1896,-45.8841,730000,2021-07-01,46
São José dos Campos,-23.1896,-45.8841,730000,2021-08-01,62
São José dos Campos,-23.1896,-45.8841,730000,2021-09-01,62
São José dos Campos,-23.1896,-45.8841,730000,2021-10-01,58
São José dos Campos,-23.1896,-45.8841,730000,2021-11-01,42
São José dos Campos,-23.1896,-45.8841,730000,2021-12-01,45
São José dos Campos,-23.1896,-45.8841,730000,2022-01-01,368
São José dos Campos,-23.1896,-45.8841,730000,2022-02-01,270
São José dos Campos,-23.1896,-45.8841,730000,2022-03-01,243
São José dos Campos,-23.1896,-45.8841,730000,2022-04-01,314
São José dos Campos,-23.1896,-45.8841,730000,2022-05-01,383
São José dos Campos,-23.1896,-45.8841,730000,2022-06-01,54
São José dos Campos,-23.1896,-45.8841,730000,2022-07-01,50
São José dos Campos,-23.1896,-45.8841,730000,2022-08-01,36
São José dos Campos,-23.1896,-45.8841,730000,2022-09-01,52
São José dos Campos,-23.1896,-45.8841,730000,2022-10-01,62
São José dos Campos,-23.1896,-45.8841,730000,2022-11-01,38
São José dos Campos,-23.1896,-45.8841,730000,2022-12-01,49
São José dos Campos,-23.1896,-45.8841,730000,2023-01-01,373
São José dos Campos,-23.1896,-45.8841,730000,2023-02-01,348
São José dos Campos,-23.1896,-45.8841,730000,2023-03-01,340
São José dos Campos,-23.1896,-45.8841,730000,2023-04-01,341
São José dos Campos,-23.1896,-45.8841,730000,2023-05-01,278
São José dos Campos,-23.1896,-45.8841,730000,2023-06-01,42
São José dos Campos,-23.1896,-45.8841,730000,2023-07-01,57
São José dos Campos,-23.1896,-45.8841,730000,2023-08-01,57
São José dos Campos,-23.1896,-45.8841,730000,2023-09-01,59
São José dos Campos,-23.1896,-45.8841,730000,2023-10-01,60
São José dos Campos,-23.1896,-45.8841,730000,2023-11-01,48
São José dos Campos,-23.1896,-45.8841,730000,2023-12-01,48
São José dos Campos,-23.1896,-45.8841,730000,2024-01-01,753
São José dos Campos,-23.1896,-45.8841,730000,2024-02-01,696
São José dos Campos,-23.1896,-45.8841,730000,2024-03-01,716
São José dos Campos,-23.1896,-45.8841,730000,2024-04-01,752
São José dos Campos,-23.1896,-45.8841,730000,2024-05-01,788
São José dos Campos,-23.1896,-45.8841,730000,2024-06-01,92
São José dos Campos,-23.1896,-45.8841,730000,2024-07-01,94
São José dos Campos,-23.1896,-45.8841,730000,2024-08-01,77
São José dos Campos,-23.1896,-45.8841,730000,2024-09-01,107
São José dos Campos,-23.1896,-45.8841,730000,2024-10-01,73
São José dos Campos,-23.1896,-45.8841,730000,2024-11-01,100
São José dos Campos,-23.1896,-45.8841,730000,2024-12-01,104
São José dos Campos,-23.1896,-45.8841,730000,2025-01-01,556
São José dos Campos,-23.1896,-45.8841,730000,2025-02-01,673
São José dos Campos,-23.1896,-45.8841,730000,2025-03-01,458
São José dos Campos,-23.1896,-45.8841,730000,2025-04-01,461
São José dos Campos,-23.1896,-45.8841,730000,2025-05-01,762
São José dos Campos,-23.1896,-45.8841,730000,2025-06-01,93
São José dos Campos,-23.1896,-45.8841,730000,2025-07-01,79
São José dos Campos,-23.1896,-45.8841,730000,2025-08-01,103
São José dos Campos,-23.1896,-45.8841,730000,2025-09-01,118
São José dos Campos,-23.1896,-45.8841,730000,2025-10-01,84
São José dos Campos,-23.1896,-45.8841,730000,2025-11-01,109
São José dos Campos,-23.1896,-45.8841,730000,2025-12-01,76
São José dos Campos,-23.1896,-45.8841,730000,2026-01-01,222
São José dos Campos,-23.1896,-45.8841,730000,2026-02-01,309
São José dos Campos,-23.1896,-45.8841,730000,2026-03-01,311
São José dos Campos,-23.1896,-45.8841,730000,2026-04-01,329
Sorocaba,-23.5015,-47.4526,695000,2020-01-01,328
Sorocaba,-23.5015,-47.4526,695000,2020-02-01,372
Sorocaba,-23.5015,-47.4526,695000,2020-03-01,292
Sorocaba,-23.5015,-47.4526,695000,2020-04-01,258
Sorocaba,-23.5015,-47.4526,695000,2020-05-01,340
Sorocaba,-23.5015,-47.4526,695000,2020-06-01,39
Sorocaba,-23.5015,-47.4526,695000,2020-07-01,44
Sorocaba,-23.5015,-47.4526,695000,2020-08-01,34
Sorocaba,-23.5015,-47.4526,695000,2020-09-01,33
Sorocaba,-23.5015,-47.4526,695000,2020-10-01,59
Sorocaba,-23.5015,-47.4526,695000,2020-11-01,55
Sorocaba,-23.5015,-47.4526,695000,2020-12-01,51
Sorocaba,-23.5015,-47.4526,695000,2021-01-01,273
Sorocaba,-23.5015,-47.4526,695000,2021-02-01,232
Sorocaba,-23.5015,-47.4526,695000,2021-03-01,229
Sorocaba,-23.5015,-47.4526,695000,2021-04-01,246
Sorocaba,-23.5015,-47.4526,695000,2021-05-01,298
Sorocaba,-23.5015,-47.4526,695000,2021-06-01,52
Sorocaba,-23.5015,-47.4526,695000,2021-07-01,50
Sorocaba,-23.5015,-47.4526,695000,2021-08-01,40
Sorocaba,-23.5015,-47.4526,695000,2021-09-01,58
Sorocaba,-23.5015,-47.4526,695000,2021-10-01,52
Sorocaba,-23.5015,-47.4526,695000,2021-11-01,47
Sorocaba,-23.5015,-47.4526,695000,2021-12-01,49
Sorocaba,-23.5015,-47.4526,695000,2022-01-01,275
Sorocaba,-23.5015,-47.4526,695000,2022-02-01,245
Sorocaba,-23.5015,-47.4526,695000,2022-03-01,264
Sorocaba,-23.5015,-47.4526,695000,2022-04-01,334
Sorocaba,-23.5015,-47.4526,695000,2022-05-01,205
Sorocaba,-23.5015,-47.4526,695000,2022-06-01,35
Sorocaba,-23.5015,-47.4526,695000,2022-07-01,33
Sorocaba,-23.5015,-47.4526,695000,2022-08-01,33
Sorocaba,-23.5015,-47.4526,695000,2022-09-01,56
Sorocaba,-23.5015,-47.4526,695000,2022-10-01,51
Sorocaba,-23.5015,-47.4526,695000,2022-11-01,45
Sorocaba,-23.5015,-47.4526,695000,2022-12-01,35
Sorocaba,-23.5015,-47.4526,695000,2023-01-01,288
Sorocaba,-23.5015,-47.4526,695000,2023-02-01,284
Sorocaba,-23.5015,-47.4526,695000,2023-03-01,232
Sorocaba,-23.5015,-47.4526,695000,2023-04-01,278
Sorocaba,-23.5015,-47.4526,695000,2023-05-01,271
Sorocaba,-23.5015,-47.4526,695000,2023-06-01,49
Sorocaba,-23.5015,-47.4526,695000,2023-07-01,50
Sorocaba,-23.5015,-47.4526,695000,2023-08-01,33
Sorocaba,-23.5015,-47.4526,695000,2023-09-01,42
Sorocaba,-23.5015,-47.4526,695000,2023-10-01,49
Sorocaba,-23.5015,-47.4526,695000,2023-11-01,46
Sorocaba,-23.5015,-47.4526,695000,2023-12-01,56
Sorocaba,-23.5015,-47.4526,695000,2024-01-01,666
Sorocaba,-23.5015,-47.4526,695000,2024-02-01,485
Sorocaba,-23.5015,-47.4526,695000,2024-03-01,451
Sorocaba,-23.5015,-47.4526,695000,2024-04-01,660
Sorocaba,-23.5015,-47.4526,695000,2024-05-01,435
Sorocaba,-23.5015,-47.4526,695000,2024-06-01,102
Sorocaba,-23.5015,-47.4526,695000,2024-07-01,123
Sorocaba,-23.5015,-47.4526,695000,2024-08-01,101
Sorocaba,-23.5015,-47.4526,695000,2024-09-01,90
Sorocaba,-23.5015,-47.4526,695000,2024-10-01,105
Sorocaba,-23.5015,-47.4526,695000,2024-11-01,94
Sorocaba,-23.5015,-47.4526,695000,2024-12-01,99
Sorocaba,-23.5015,-47.4526,695000,2025-01-01,769
Sorocaba,-23.5015,-47.4526,695000,2025-02-01,566
Sorocaba,-23.5015,-47.4526,695000,2025-03-01,776
Sorocaba,-23.5015,-47.4526,695000,2025-04-01,756
Sorocaba,-23.5015,-47.4526,695000,2025-05-01,497
Sorocaba,-23.5015,-47.4526,695000,2025-06-01,72
Sorocaba,-23.5015,-47.4526,695000,2025-07-01,73
Sorocaba,-23.5015,-47.4526,695000,2025-08-01,69
Sorocaba,-23.5015,-47.4526,695000,2025-09-01,73
Sorocaba,-23.5015,-47.4526,695000,2025-10-01,107
Sorocaba,-23.5015,-47.4526,695000,2025-11-01,72
Sorocaba,-23.5015,-47.4526,695000,2025-12-01,86
Sorocaba,-23.5015,-47.4526,695000,2026-01-01,349
Sorocaba,-23.5015,-47.4526,695000,2026-02-01,206
Sorocaba,-23.5015,-47.4526,695000,2026-03-01,344
Sorocaba,-23.5015,-47.4526,695000,2026-04-01,251
Santos,-23.9608,-46.3339,433000,2020-01-01,139
Santos,-23.9608,-46.3339,433000,2020-02-01,201
Santos,-23.9608,-46.3339,433000,2020-03-01,194
Santos,-23.9608,-46.3339,433000,2020-04-01,221
Santos,-23.9608,-46.3339,433000,2020-05-01,205
Santos,-23.9608,-46.3339,433000,2020-06-01,34
Santos,-23.9608,-46.3339,433000,2020-07-01,25
Santos,-23.9608,-46.3339,433000,2020-08-01,23
Santos,-23.9608,-46.3339,433000,2020-09-01,33
Santos,-23.9608,-46.3339,433000,2020-10-01,34
Santos,-23.9608,-46.3339,433000,2020-11-01,37
Santos,-23.9608,-46.3339,433000,2020-12-01,27
Santos,-23.9608,-46.3339,433000,2021-01-01,166
Santos,-23.9608,-46.3339,433000,2021-02-01,210
Santos,-23.9608,-46.3339,433000,2021-03-01,163
Santos,-23.9608,-46.3339,433000,2021-04-01,227
Santos,-23.9608,-46.3339,433000,2021-05-01,219
Santos,-23.9608,-46.3339,433000,2021-06-01,27
Santos,-23.9608,-46.3339,433000,2021-07-01,33
Santos,-23.9608,-46.3339,433000,2021-08-01,33
Santos,-23.9608,-46.3339,433000,2021-09-01,21
Santos,-23.9608,-46.3339,433000,2021-10-01,35
Santos,-23.9608,-46.3339,433000,2021-11-01,28
Santos,-23.9608,-46.3339,433000,2021-12-01,34
Santos,-23.9608,-46.3339,433000,2022-01-01,160
Santos,-23.9608,-46.3339,433000,2022-02-01,223
Santos,-23.9608,-46.3339,433000,2022-03-01,168
Santos,-23.9608,-46.3339,433000,2022-04-01,127
Santos,-23.9608,-46.3339,433000,2022-05-01,224
Santos,-23.9608,-46.3339,433000,2022-06-01,21
Santos,-23.9608,-46.3339,433000,2022-07-01,25
Santos,-23.9608,-46.3339,433000,2022-08-01,36
Santos,-23.9608,-46.3339,433000,2022-09-01,36
Santos,-23.9608,-46.3339,433000,2022-10-01,30
Santos,-23.9608,-46.3339,433000,2022-11-01,31
Santos,-23.9608,-46.3339,433000,2022-12-01,27
Santos,-23.9608,-46.3339,433000,2023-01-01,158
Santos,-23.9608,-46.3339,433000,2023-02-01,161
Santos,-23.9608,-46.3339,433000,2023-03-01,199
Santos,-23.9608,-46.3339,433000,2023-04-01,207
Santos,-23.9608,-46.3339,433000,2023-05-01,211
Santos,-23.9608,-46.3339,433000,2023-06-01,33
Santos,-23.9608,-46.3339,433000,2023-07-01,21
Santos,-23.9608,-46.3339,433000,2023-08-01,28
Santos,-23.9608,-46.3339,433000,2023-09-01,21
Santos,-23.9608,-46.3339,433000,2023-10-01,29
Santos,-23.9608,-46.3339,433000,2023-11-01,27
Santos,-23.9608,-46.3339,433000,2023-12-01,35
Santos,-23.9608,-46.3339,433000,2024-01-01,344
Santos,-23.9608,-46.3339,433000,2024-02-01,291
Santos,-23.9608,-46.3339,433000,2024-03-01,297
Santos,-23.9608,-46.3339,433000,2024-04-01,438
Santos,-23.9608,-46.3339,433000,2024-05-01,405
Santos,-23.9608,-46.3339,433000,2024-06-01,46
Santos,-23.9608,-46.3339,433000,2024-07-01,45
Santos,-23.9608,-46.3339,433000,2024-08-01,67
